volume,high,low,date,close,opens
"6,312,948","1,469.99","1,415.02",16:00,"1,460.17","1,458"
"7,470,059",1539.5,1448.4475,04/24/2018,1460.09,1535.8
"4,447,801",1548,1503.4103,04/23/2018,1517.86,1546.6947
"5,520,642",1561.1999,1516.093,04/20/2018,1527.49,1561.1999
"6,483,967",1568.52,1539.06,04/19/2018,1556.91,1543.22
"5,091,677",1533.8,1504.11,04/18/2018,1527.84,1514.65
"5,008,532",1507.19,1457.0219,04/17/2018,1503.83,1462.295
"2,773,836",1447,1427.48,04/16/2018,1441.5,1445
"3,637,586",1459.7808,1424.52,04/13/2018,1430.79,1449.136
"3,116,939",1452.12,1435.06,04/12/2018,1448.5,1439.5
"3,544,449",1448.7758,1424.89,04/11/2018,1427.05,1439.44
"4,258,358",1438.38,1415.7,04/10/2018,1436.22,1431.99
"4,193,564",1438.48,1402.571,04/09/2018,1406.08,1425.03
"5,838,758",1452.502,1400.26,04/06/2018,1405.23,1429.97
"6,305,513",1459.5575,1427.07,04/05/2018,1451.75,1441.99
"6,942,485",1415.39,1352.88,04/04/2018,1410.57,1358.24
"10,212,940",1414,1355.33,04/03/2018,1392.05,1391.38
"10,432,560",1421.358,1355,04/02/2018,1371.99,1417.62
"12,570,020",1455.47,1365.2,03/29/2018,1447.34,1406
"13,680,370",1455.9,1386.17,03/28/2018,1431.42,1447
"6,887,274",1575.965,1482.32,03/27/2018,1497.05,1572.4
"5,592,200",1556.99,1499.25,03/26/2018,1555.86,1530
"7,977,655",1549.02,1495.36,03/23/2018,1495.56,1539.01
"6,213,379",1573.85,1542.4,03/22/2018,1544.92,1565.47
"4,740,884",1590,1563.17,03/21/2018,1581.86,1586.45
"4,554,675",1587,1545.41,03/20/2018,1586.51,1550.34
"6,406,413",1561.66,1525.35,03/19/2018,1544.93,1554.53
"5,291,848",1589.44,1567.5,03/16/2018,1571.68,1583.45
"4,057,694",1596.91,1578.11,03/15/2018,1582.32,1595
"4,236,655",1606.444,1590.89,03/14/2018,1591,1597
"6,514,336",1617.54,1578.01,03/13/2018,1588.18,1615.96
"5,146,149",1605.33,1586.7,03/12/2018,1598.39,1592.6
"4,508,650",1578.94,1559.08,03/09/2018,1578.89,1563.5
"3,882,904",1554.88,1545.25,03/08/2018,1551.86,1550
"4,164,829",1545.9,1522.51,03/07/2018,1545,1526.52
"4,433,105",1542.13,1528,03/06/2018,1537.64,1533.2
"5,192,119",1525.38,1481,03/05/2018,1523.61,1494.24
"6,573,973",1501.05,1455.0101,03/02/2018,1500.25,1469.1
"6,820,462",1518.49,1465,03/01/2018,1493.45,1513.6
"4,498,688",1528.7,1512,02/28/2018,1512.45,1519.51
"4,791,167",1526.78,1507.21,02/27/2018,1511.98,1524.5
"4,944,679",1522.84,1507,02/26/2018,1521.95,1509.2
"4,395,443",1500,1486.5,02/23/2018,1500,1495.34
"4,806,267",1502.54,1475.76,02/22/2018,1485.34,1495.36
"6,270,085",1503.49,1478.92,02/21/2018,1482.92,1485
"6,473,520",1488.77,1446.49,02/20/2018,1468.35,1446.49
"4,464,048",1465.8,1446.56,02/16/2018,1448.69,1457.37
"5,634,873",1468.94,1436.8367,02/15/2018,1461.76,1466.89
"5,940,392",1452.06,1403.36,02/14/2018,1451.05,1406.25
"5,880,823",1419.72,1383.53,02/13/2018,1414.51,1385.93
"6,718,037",1393.81,1344.01,02/12/2018,1386.23,1364.67
"14,128,670",1383.5,1265.93,02/09/2018,1339.6,1373.49
"8,496,355",1433.7522,1349.94,02/08/2018,1350.5,1429.675
"7,126,128",1460.99,1415.15,02/07/2018,1416.78,1449
"10,937,550",1443.99,1351.79,02/06/2018,1442.84,1361.46
"11,422,520",1458.98,1320.72,02/05/2018,1390,1402.62
"11,014,340",1498,1414,02/02/2018,1429.95,1477.39
"8,985,040",1459.8799,1385.1419,02/01/2018,1390,1445
"6,386,185",1472.58,1450.04,01/31/2018,1450.89,1451.3
"5,802,415",1439.25,1392,01/30/2018,1437.82,1403.17
"5,690,168",1431.39,1400.44,01/29/2018,1417.68,1409.18
"4,825,682",1402.53,1380.91,01/26/2018,1402.05,1392.01
"4,741,473",1378.34,1357.62,01/25/2018,1377.95,1368
"6,781,297",1388.16,1338,01/24/2018,1357.51,1374.82
volume,high,low,date,close,opens
"6,314,400","1,469.99","1,415.02",16:00,"1,460.17","1,458"
"7,470,059",1539.5,1448.4475,04/24/2018,1460.09,1535.8
"4,447,801",1548,1503.4103,04/23/2018,1517.86,1546.6947
"5,520,642",1561.1999,1516.093,04/20/2018,1527.49,1561.1999
"6,483,967",1568.52,1539.06,04/19/2018,1556.91,1543.22
"5,091,677",1533.8,1504.11,04/18/2018,1527.84,1514.65
"5,008,532",1507.19,1457.0219,04/17/2018,1503.83,1462.295
"2,773,836",1447,1427.48,04/16/2018,1441.5,1445
"3,637,586",1459.7808,1424.52,04/13/2018,1430.79,1449.136
"3,116,939",1452.12,1435.06,04/12/2018,1448.5,1439.5
"3,544,449",1448.7758,1424.89,04/11/2018,1427.05,1439.44
"4,258,358",1438.38,1415.7,04/10/2018,1436.22,1431.99
"4,193,564",1438.48,1402.571,04/09/2018,1406.08,1425.03
"5,838,758",1452.502,1400.26,04/06/2018,1405.23,1429.97
"6,305,513",1459.5575,1427.07,04/05/2018,1451.75,1441.99
"6,942,485",1415.39,1352.88,04/04/2018,1410.57,1358.24
"10,212,940",1414,1355.33,04/03/2018,1392.05,1391.38
"10,432,560",1421.358,1355,04/02/2018,1371.99,1417.62
"12,570,020",1455.47,1365.2,03/29/2018,1447.34,1406
"13,680,370",1455.9,1386.17,03/28/2018,1431.42,1447
"6,887,274",1575.965,1482.32,03/27/2018,1497.05,1572.4
"5,592,200",1556.99,1499.25,03/26/2018,1555.86,1530
"7,977,655",1549.02,1495.36,03/23/2018,1495.56,1539.01
"6,213,379",1573.85,1542.4,03/22/2018,1544.92,1565.47
"4,740,884",1590,1563.17,03/21/2018,1581.86,1586.45
"4,554,675",1587,1545.41,03/20/2018,1586.51,1550.34
"6,406,413",1561.66,1525.35,03/19/2018,1544.93,1554.53
"5,291,848",1589.44,1567.5,03/16/2018,1571.68,1583.45
"4,057,694",1596.91,1578.11,03/15/2018,1582.32,1595
"4,236,655",1606.444,1590.89,03/14/2018,1591,1597
"6,514,336",1617.54,1578.01,03/13/2018,1588.18,1615.96
"5,146,149",1605.33,1586.7,03/12/2018,1598.39,1592.6
"4,508,650",1578.94,1559.08,03/09/2018,1578.89,1563.5
"3,882,904",1554.88,1545.25,03/08/2018,1551.86,1550
"4,164,829",1545.9,1522.51,03/07/2018,1545,1526.52
"4,433,105",1542.13,1528,03/06/2018,1537.64,1533.2
"5,192,119",1525.38,1481,03/05/2018,1523.61,1494.24
"6,573,973",1501.05,1455.0101,03/02/2018,1500.25,1469.1
"6,820,462",1518.49,1465,03/01/2018,1493.45,1513.6
"4,498,688",1528.7,1512,02/28/2018,1512.45,1519.51
"4,791,167",1526.78,1507.21,02/27/2018,1511.98,1524.5
"4,944,679",1522.84,1507,02/26/2018,1521.95,1509.2
"4,395,443",1500,1486.5,02/23/2018,1500,1495.34
"4,806,267",1502.54,1475.76,02/22/2018,1485.34,1495.36
"6,270,085",1503.49,1478.92,02/21/2018,1482.92,1485
"6,473,520",1488.77,1446.49,02/20/2018,1468.35,1446.49
"4,464,048",1465.8,1446.56,02/16/2018,1448.69,1457.37
"5,634,873",1468.94,1436.8367,02/15/2018,1461.76,1466.89
"5,940,392",1452.06,1403.36,02/14/2018,1451.05,1406.25
"5,880,823",1419.72,1383.53,02/13/2018,1414.51,1385.93
"6,718,037",1393.81,1344.01,02/12/2018,1386.23,1364.67
"14,128,670",1383.5,1265.93,02/09/2018,1339.6,1373.49
"8,496,355",1433.7522,1349.94,02/08/2018,1350.5,1429.675
"7,126,128",1460.99,1415.15,02/07/2018,1416.78,1449
"10,937,550",1443.99,1351.79,02/06/2018,1442.84,1361.46
"11,422,520",1458.98,1320.72,02/05/2018,1390,1402.62
"11,014,340",1498,1414,02/02/2018,1429.95,1477.39
"8,985,040",1459.8799,1385.1419,02/01/2018,1390,1445
"6,386,185",1472.58,1450.04,01/31/2018,1450.89,1451.3
"5,802,415",1439.25,1392,01/30/2018,1437.82,1403.17
"5,690,168",1431.39,1400.44,01/29/2018,1417.68,1409.18
"4,825,682",1402.53,1380.91,01/26/2018,1402.05,1392.01
"4,741,473",1378.34,1357.62,01/25/2018,1377.95,1368
"6,781,297",1388.16,1338,01/24/2018,1357.51,1374.82
volume,high,low,date,close,opens
"6,320,411","1,469.99","1,415.02",16:00,"1,460.17","1,458"
"7,470,059",1539.5,1448.4475,04/24/2018,1460.09,1535.8
"4,447,801",1548,1503.4103,04/23/2018,1517.86,1546.6947
"5,520,642",1561.1999,1516.093,04/20/2018,1527.49,1561.1999
"6,483,967",1568.52,1539.06,04/19/2018,1556.91,1543.22
"5,091,677",1533.8,1504.11,04/18/2018,1527.84,1514.65
"5,008,532",1507.19,1457.0219,04/17/2018,1503.83,1462.295
"2,773,836",1447,1427.48,04/16/2018,1441.5,1445
"3,637,586",1459.7808,1424.52,04/13/2018,1430.79,1449.136
"3,116,939",1452.12,1435.06,04/12/2018,1448.5,1439.5
"3,544,449",1448.7758,1424.89,04/11/2018,1427.05,1439.44
"4,258,358",1438.38,1415.7,04/10/2018,1436.22,1431.99
"4,193,564",1438.48,1402.571,04/09/2018,1406.08,1425.03
"5,838,758",1452.502,1400.26,04/06/2018,1405.23,1429.97
"6,305,513",1459.5575,1427.07,04/05/2018,1451.75,1441.99
"6,942,485",1415.39,1352.88,04/04/2018,1410.57,1358.24
"10,212,940",1414,1355.33,04/03/2018,1392.05,1391.38
"10,432,560",1421.358,1355,04/02/2018,1371.99,1417.62
"12,570,020",1455.47,1365.2,03/29/2018,1447.34,1406
"13,680,370",1455.9,1386.17,03/28/2018,1431.42,1447
"6,887,274",1575.965,1482.32,03/27/2018,1497.05,1572.4
"5,592,200",1556.99,1499.25,03/26/2018,1555.86,1530
"7,977,655",1549.02,1495.36,03/23/2018,1495.56,1539.01
"6,213,379",1573.85,1542.4,03/22/2018,1544.92,1565.47
"4,740,884",1590,1563.17,03/21/2018,1581.86,1586.45
"4,554,675",1587,1545.41,03/20/2018,1586.51,1550.34
"6,406,413",1561.66,1525.35,03/19/2018,1544.93,1554.53
"5,291,848",1589.44,1567.5,03/16/2018,1571.68,1583.45
"4,057,694",1596.91,1578.11,03/15/2018,1582.32,1595
"4,236,655",1606.444,1590.89,03/14/2018,1591,1597
"6,514,336",1617.54,1578.01,03/13/2018,1588.18,1615.96
"5,146,149",1605.33,1586.7,03/12/2018,1598.39,1592.6
"4,508,650",1578.94,1559.08,03/09/2018,1578.89,1563.5
"3,882,904",1554.88,1545.25,03/08/2018,1551.86,1550
"4,164,829",1545.9,1522.51,03/07/2018,1545,1526.52
"4,433,105",1542.13,1528,03/06/2018,1537.64,1533.2
"5,192,119",1525.38,1481,03/05/2018,1523.61,1494.24
"6,573,973",1501.05,1455.0101,03/02/2018,1500.25,1469.1
"6,820,462",1518.49,1465,03/01/2018,1493.45,1513.6
"4,498,688",1528.7,1512,02/28/2018,1512.45,1519.51
"4,791,167",1526.78,1507.21,02/27/2018,1511.98,1524.5
"4,944,679",1522.84,1507,02/26/2018,1521.95,1509.2
"4,395,443",1500,1486.5,02/23/2018,1500,1495.34
"4,806,267",1502.54,1475.76,02/22/2018,1485.34,1495.36
"6,270,085",1503.49,1478.92,02/21/2018,1482.92,1485
"6,473,520",1488.77,1446.49,02/20/2018,1468.35,1446.49
"4,464,048",1465.8,1446.56,02/16/2018,1448.69,1457.37
"5,634,873",1468.94,1436.8367,02/15/2018,1461.76,1466.89
"5,940,392",1452.06,1403.36,02/14/2018,1451.05,1406.25
"5,880,823",1419.72,1383.53,02/13/2018,1414.51,1385.93
"6,718,037",1393.81,1344.01,02/12/2018,1386.23,1364.67
"14,128,670",1383.5,1265.93,02/09/2018,1339.6,1373.49
"8,496,355",1433.7522,1349.94,02/08/2018,1350.5,1429.675
"7,126,128",1460.99,1415.15,02/07/2018,1416.78,1449
"10,937,550",1443.99,1351.79,02/06/2018,1442.84,1361.46
"11,422,520",1458.98,1320.72,02/05/2018,1390,1402.62
"11,014,340",1498,1414,02/02/2018,1429.95,1477.39
"8,985,040",1459.8799,1385.1419,02/01/2018,1390,1445
"6,386,185",1472.58,1450.04,01/31/2018,1450.89,1451.3
"5,802,415",1439.25,1392,01/30/2018,1437.82,1403.17
"5,690,168",1431.39,1400.44,01/29/2018,1417.68,1409.18
"4,825,682",1402.53,1380.91,01/26/2018,1402.05,1392.01
"4,741,473",1378.34,1357.62,01/25/2018,1377.95,1368
"6,781,297",1388.16,1338,01/24/2018,1357.51,1374.82
